STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,currency,Currency,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,AL,Albania,1999-S2,,45,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,AL,Albania,2000-S1,,47,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,AL,Albania,2000-S2,,52,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,AL,Albania,2001-S1,,53,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,AL,Albania,2001-S2,,60,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,AL,Albania,2002-S1,,63,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,AL,Albania,2002-S2,,68,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,AL,Albania,2003-S1,,67,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,AL,Albania,2003-S2,,74,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,AL,Albania,2004-S1,,75,,,,,
dataflow,ESTAT:EARN_MW_CUR(1.0),Monthly minimum wages - bi-annual data,S,"Half-yearly, semesterly",EUR,Euro,AL,Albania,2004-S2,,88,,,,,
